crn_number,subject,course_number,title,cred_number,typekey,days,times,lockey_number,lockey,instructor,seats_number,totenrl_number
10209,FCM,362.101,Crime Scene Process,3,LEC,M W F,09:00AM- 09:50AM,128,LS 128,Opel K,12,8
10210,FCM,380.101,Trace Evdnce Analys,3,LEC,M W,11:00AM- 11:50AM,229,CH 229,Opel K,12,1
10211,FCM,381.501,Trc Evid Anlys Lab,0,LAB,R,11:00AM- 01:45PM,210,CH 210,Opel K,12,2
10142,CHM,104.101,Found of Chem,3,LEC,T R,02:00PM- 03:15PM,103,CH 103,Staff,20,14
10143,CHM,122.101,Prin Gen/Org Chem,4,LEC,M W F,08:00AM- 08:50AM,223,CH 223,Dunstan M,26,1
10144,CHM,122.102,Prin Gen/Org Chem,4,LEC,M W F,09:00AM- 09:50AM,223,CH 223,Dunstan M,27,21
10145,CHM,122.103,Prin Gen/Org Chem,4,LEC,M W F,10:00AM- 10:50AM,223,CH 223,Dunstan M,27,21
10146,CHM,123.501,Gen/Org Chem Lab,0,LAB,M,11:00AM- 01:45PM,110,CH 110,Staff,20,1
10147,CHM,123.502,Gen/Org Chem Lab,0,LAB,M,02:00PM- 04:45PM,110,CH 110,Staff,20,13
10148,CHM,123.503,Gen/Org Chem Lab,0,LAB,T,11:00AM- 01:45PM,110,CH 110,Staff,20,16
10149,CHM,123.504,Gen/Org Chem Lab,0,LAB,W,11:00AM- 01:45PM,110,CH 110,Staff,20,14
10150,CHM,130.101,1st Year Colloquium,1,LEC,T,09:30AM- 10:30AM,232,CH 232,Steel W,16,1
10151,CHM,130.102,1st Year Colloquium,1,LEC,R,09:30AM- 10:30AM,232,CH 232,Steel W,16,8
10152,CHM,134.101,Gen Chem I,4,LEC,M W F,09:00AM- 09:50AM,106,CH 106,Steel W,29,12
10153,CHM,134.102,Gen Chem I,4,LEC,M W F,10:00AM- 10:50AM,103,CH 103,Moreland R,29,23
10154,CHM,134.103,Gen Chem I,4,LEC,M W F,10:00AM- 10:50AM,227,CH 227,Steel W,29,27
10155,CHM,134.104,Gen Chem I,4,LEC,M W,03:00PM- 04:15PM,236,CH 236,Peterman K,29,0
10156,CHM,134.105,Gen Chem I,4,LEC,M W F,11:00AM- 11:50AM,103,CH 103,Steel W,29,3
10157,CHM,134.106,Gen Chem I,4,LEC,T R,09:30AM- 10:45AM,128,LS 128,Fautch J,29,28
10158,CHM,134.107,Gen Chem I,4,LEC,T R,11:00AM- 12:15PM,223,CH 223,Foy G,29,4
10159,CHM,134.108,Gen Chem I,4,LEC,T R,12:30PM- 01:45PM,103,CH 103,Foy G,28,26
10160,CHM,134.109,Gen Chem I,4,LEC,T R,02:00PM- 03:15PM,228,CH 228,Peterman K,29,10
