crn_number,subject,course_number,title,cred_number,typekey,days,times,lockey_number,lockey,instructor,seats_number,totenrl_number
,,,,,,R,03:30PM- 04:45PM,118,WBC 118,,,0
10397,BUS,494.104,Integrated Bus Exp,3,LEC,T R,05:00PM- 06:15PM,310,WBC 310,Green R,20,6
,,,,,,T,03:30PM- 04:45PM,310,WBC 310,,,0
,,,,,,R,03:30PM- 04:45PM,118,WBC 118,,,0
10398,BUS,495.101,Bus Strategy/Policy,3,LEC,T R,08:00AM- 09:15AM,404,WBC 404,Azriel J,20,15
10399,BUS,495.102,Bus Strategy/Policy,3,LEC,T R,09:30AM- 10:45AM,302,CH 302,Deremer L,20,18
10400,BUS,495.801,Bus Strategy/Policy,3,LEC,M,06:30PM- 09:15PM,408,WBC 408,Barteld J,20,17
10401,BUS,495.802,Bus Strategy/Policy,3,LEC,T,06:30PM- 09:15PM,314,WBC 314,Barteld J,20,15
10566,QBA,260.101,Business Stats I,3,LEC,M W F,08:00AM- 08:50AM,310,WBC 310,O'Connell R,25,19
10567,QBA,260.801,Business Stats I,3,LEC,M,06:30PM- 09:15PM,403,WBC 403,Gallimore S,25,14
10568,QBA,260.802,Business Stats I,3,LEC,T,06:30PM- 09:15PM,304,LS 304,Robertson D,25,19
10569,QBA,260.803,Business Stats I,3,LEC,W,06:30PM- 09:15PM,404,WBC 404,Burbridge J,25,8
10570,QBA,260.804,Business Stats I,3,LEC,R,06:30PM- 09:15PM,128,LS 128,Markel W,25,21
10571,QBA,265.101,Business Stats II,3,LEC,M W F,01:00PM- 01:50PM,403,WBC 403,Chen W,25,1
10572,QBA,265.102,Business Stats II,3,LEC,M W F,02:00PM- 02:50PM,403,WBC 403,Chen W,25,24
10573,QBA,265.103,Business Stats II,3,LEC,T R,11:00AM- 12:15PM,408,WBC 408,Sumutka A,25,7
10574,QBA,265.104,Business Stats II,3,LEC,T R,12:30PM- 01:45PM,408,WBC 408,Sumutka A,25,14
10575,QBA,410.101,Econometrics,3,LEC,M W F,11:00AM- 11:50AM,408,WBC 408,Chen W,30,29
10482,PHY,160.801,Eng Phys:Mechncs,5,L/L,T,06:30PM- 09:15PM,107,CH 107,Staff,16,13
,,,,,,W,06:30PM- 07:30PM,144,HUM 144,,,0
,,,,,,R,06:30PM- 09:15PM,102,CH 102,,,0
10511,PHY,260.101,Eng Phys:Elct/Magn,5,L/L,M W F,10:00AM- 11:40AM,125,KEC 125,Ruzybayev I,20,12
,,,,,,T,08:00AM- 09:15AM,125,KEC 125,Staff,,0
,,,,,,,,,,Wyrick C,,0
10499,PHY,260.102,Eng Phys:Elct/Magn,5,L/L,M W F,10:00AM- 11:40AM,125,KEC 125,Ruzybayev I,20,14
,,,,,,T,12:30PM- 01:45PM,125,KEC 125,Wyrick C,,0
10500,PHY,260.103,Eng Phys:Elct/Magn,5,L/L,M W F,02:00PM- 03:40PM,125,KEC 125,Ruzybayev I,20,9
,,,,,,R,08:00AM- 09:15AM,125,KEC 125,Staff,,0
,,,,,,,,,,Wyrick C,,0
10517,PHY,260.104,Eng Phys:Elct/Magn,5,L/L,M W F,02:00PM- 03:40PM,125,KEC 125,Ruzybayev I,20,1
,,,,,,R,12:30PM- 01:45PM,125,KEC 125,Staff,,0
,,,,,,,,,,Wyrick C,,0
10884,HUM,381.101,Science Fiction,3,LEC,T R,02:00PM- 03:15PM,229,CH 229,Zerbe M,20,15
10620,PSC,152.101,Phys/Everyday Life,3,LEC,M W,08:00AM- 08:50AM,231,CH 231,Khanna S,32,22
10622,PSC,152.102,Phys/Everyday Life,3,LEC,M W,09:00AM- 09:50AM,231,CH 231,Khanna S,32,10
10625,PSC,152.103,Phys/Everyday Life,3,LEC,R,06:30PM- 08:10PM,106,CH 106,Rentzel R,16,16
10628,PSC,152.801,Phys/Everyday Life,3,L/L,S,08:30AM- 12:55PM,106,CH 106,Rentzel R,16,14
10635,PSC,153.501,Phys/Everyday LAB,0,LAB,M,02:00PM- 04:45PM,106,CH 106,Rentzel R,16,5
10639,PSC,153.502,Phys/Everyday LAB,0,LAB,T,02:00PM- 04:45PM,106,CH 106,Rentzel R,16,12
10641,PSC,153.503,Phys/Everyday LAB,0,LAB,T,06:30PM- 09:15PM,106,CH 106,Rentzel R,16,8
10644,PSC,153.504,Phys/Everyday LAB,0,LAB,W,02:00PM- 04:45PM,106,CH 106,Rentzel R,16,2
10645,PSC,153.505,Phys/Everyday LAB,0,LAB,W,06:30PM- 09:15PM,106,CH 106,Rentzel R,16,10
10763,CRW,272.101,Intro Creative Wrt,3,LEC,M W F,12:00PM- 12:50PM,21,HUM 21,Bitzel A,15,6
10767,CRW,272.102,Intro Creative Wrt,3,LEC,M W F,02:00PM- 02:50PM,21,HUM 21,Bitzel A,15,4
10771,CRW,272.103,Intro Creative Wrt,3,LEC,T R,12:30PM- 01:45PM,145,HUM 145,Grippi V,15,6
10775,CRW,272.801,Intro Creative Wrt,3,LEC,T,06:30PM- 09:15PM,144,HUM 144,Kurowski T,15,4
10780,CRW,372.101,Poetry Writing,3,LEC,T R,09:30AM- 10:45AM,228,HUM 228,Kurowski T,15,0
10783,CRW,380.101,Literary Publishing,3,LEC,M W F,01:00PM- 01:50PM,9,HUM 9,Kurowski T,20,6
11458,CRW,382.101,Fiction Writing,3,LEC,T R,02:00PM- 03:15PM,20,HUM 20,Grippi V,20,13
10796,WGS,225.801,The Family,3,LEC,T,06:30PM- 09:15PM,311,LS 311,Staff,30,5
10454,ME,250.101,Statics,3,L/L,M W F,10:00AM- 11:30AM,127,KEC 127,Staff,25,25
10456,ME,250.102,Statics,3,L/L,M W F,02:00PM- 03:30PM,127,KEC 127,Staff,25,21
10458,ME,351.101,Instrumnt/Micro Lab,1,LAB,T,08:00AM- 10:45AM,122,KEC 122,Celik E,18,16
10461,ME,351.102,Instrumnt/Micro Lab,1,LAB,R,08:00AM- 10:45AM,122,KEC 122,Celik E,18,14
10463,ME,360.101,Fluid Mechanics,3,LEC,T R,12:30PM- 01:45PM,127,KEC 127,Staff,22,8
10466,ME,360.102,Fluid Mechanics,3,LEC,T R,02:00PM- 03:15PM,127,KEC 127,Staff,22,11
10468,ME,361.101,Thermo/Fluids Exp,1,LAB,T,08:00AM- 10:45AM,133,KEC 133,Staff,13,8
10471,ME,361.102,Thermo/Fluids Exp,1,LAB,W,11:00AM- 01:45PM,133,KEC 133,Staff,13,7
10473,ME,361.103,Thermo/Fluids Exp,1,LAB,R,08:00AM- 10:45AM,133,KEC 133,Staff,13,8
10476,ME,380.101,Machine Design,4,L/L,M W F,08:00AM- 09:40AM,127,KEC 127,Kuchnicki S,24,10
10479,ME,380.102,Machine Design,4,L/L,M W F,12:00PM- 01:40PM,127,KEC 127,Kuchnicki S,24,15
10001,FYS,100.101,UTOPIA/DYSTOPIA,3,LEC,M W F,09:00AM- 09:50AM,204,HUM 204,Taylor T,0,0
10002,FYS,100.102,CULTURE: SAME/DIFF,3,LEC,M W F,09:00AM- 09:50AM,205,HUM 205,Fyfe D,0,0
10003,FYS,100.103,FOOTPRINTS SILICON,3,LEC,M W F,10:00AM- 10:50AM,7,LIBRY 7,Kline V,0,0
10004,FYS,100.104,ANIMAL RIGHTS/RESPN,3,LEC,M W F,10:00AM- 10:50AM,228,CH 228,Houghton V,0,0
10005,FYS,100.105,WORK PLAY LEARN,3,LEC,M W F,10:00AM- 10:50AM,128,LS 128,Malcarne B,0,0
10006,FYS,100.106,A MUSICAL LIFE,3,LEC,M W F,11:00AM- 11:50AM,104,WOLF 104,Muzzo G,0,0
10007,FYS,100.107,ANIMAL RIGHTS/RESPN,3,LEC,M W F,11:00AM- 11:50AM,228,CH 228,Houghton V,0,0
10008,FYS,100.108,WHO AM I (HERE)?,3,LEC,M W F,11:00AM- 11:50AM,236,CH 236,Carsey K,0,0
10009,FYS,100.109,WHO AM I? WHAT AM I?,3,LEC,M W F,11:00AM- 11:50AM,205,HUM 205,Weiss D,0,0
10010,FYS,100.110,FOOD CHOICES,3,LEC,M W F,12:00PM- 12:50PM,141,HUM 141,McAdams K,0,0
10011,FYS,100.111,WORK PLAY LEARN,3,LEC,M W F,12:00PM- 12:50PM,128,LS 128,Malcarne B,0,0
10012,FYS,100.112,WHO AM I? WHAT AM I?,3,LEC,M W F,01:00PM- 01:50PM,143,HUM 143,Weiss D,0,0
10013,FYS,100.113,WHAT AM I MADE OF?,3,LEC,M W F,01:00PM- 01:50PM,236,CH 236,Waddell S,0,0
10014,FYS,100.114,INTERFACING VISUAL,3,LEC,M W F,02:00PM- 02:50PM,142,HUM 142,Gulden L,0,0
10015,FYS,100.115,RACE JUSTICE AMERICA,3,LEC,M W,03:00PM- 04:15PM,144,HUM 144,Levy P,0,0
10016,FYS,100.116,YORK: COMM AND YOU,3,LEC,M W,03:00PM- 04:15PM,126,LS 126,Hesson N,0,0
10017,FYS,100.117,LIVING SMALL,3,LEC,T R,08:00AM- 09:15AM,314,WBC 314,Slaysman K,0,0
10018,FYS,100.118,BEASTS BUGS FISHES,3,LEC,T R,08:00AM- 09:15AM,142,HUM 142,Vause D,0,0
10019,FYS,100.119,BEASTS BUGS FISHES,3,LEC,T R,09:30AM- 10:45AM,142,HUM 142,Vause D,0,0
10020,FYS,100.120,WOMEN IN SPORT,3,LEC,T R,09:30AM- 10:45AM,314,WOLF 314,Sauder M,0,0
10021,FYS,100.121,POTTER PHENOMENON,3,LEC,T R,09:30AM- 10:45AM,129,HUM 129,Polites E,0,0
10022,FYS,100.122,THE ART OF GENIUS,3,LEC,T R,11:00AM- 12:15PM,314,WOLF 314,Delle S,0,0
10023,FYS,100.123,DISNEY/GROWNUPS,3,LEC,T R,11:00AM- 12:15PM,207,HUM 207,Creagh C,0,0
10024,FYS,100.124,POTTER PHENOMENON,3,LEC,T R,11:00AM- 12:15PM,130,HUM 130,Polites E,0,0
10025,FYS,100.125,THE AMERICAN DREAM,3,LEC,T R,11:00AM- 12:15PM,141,HUM 141,Ellsworth B,0,0
10026,FYS,100.126,ENERGY/ENVIRON/SUSTA,3,LEC,T R,11:00AM- 12:15PM,229,CH 229,Meah K,0,0
10027,FYS,100.127,FOR THE LOVE OF JAVA,3,LEC,T R,12:30PM- 01:45PM,229,CH 229,Gordon R,0,0
10028,FYS,100.128,CREATIVE COMPUTING,3,LEC,T R,12:30PM- 01:45PM,129,KEC 129,Hovemeyer D,0,0
,,,,,,,,,,Forsyth J,,0
10029,FYS,100.129,SIZE ACCEPTANCE,3,LEC,T R,12:30PM- 01:45PM,205,HUM 205,Smith E,0,0
10030,FYS,100.130,HERO'S JOURNEY,3,LEC,T R,12:30PM- 01:45PM,206,HUM 206,Herdson N,0,0
10031,FYS,100.131,HERO'S JOURNEY,3,LEC,T R,02:00PM- 03:15PM,205,CH 205,Herdson N,0,0
10032,FYS,100.132,ENERGY/ENVIRON/SUSTAIN,3,LEC,T R,02:00PM- 03:15PM,129,LS 129,Meah K,0,0
10033,FYS,100.133,ATTITUDE TO ALTITUDE,3,LEC,T R,02:00PM- 03:15PM,144,HUM 144,Hess L,0,0
10034,FYS,101.801,ENTREPRENEUR THINK,3,LEC,T,06:30PM- 09:15PM,,RUDY ART,Casey E,0,0
,,,,,,,,,,Wilkes J,,0
10035,FYS,110.101,Educ/Today's Society,3,LEC,M W F,11:00AM- 11:50AM,125,LS 125,Hesson N,0,0
10367,ACC,220.101,Financial Acct,3,LEC,M W F,12:00PM- 12:50PM,310,WBC 310,Staff,35,31
10368,ACC,220.102,Financial Acct,3,LEC,M W F,02:00PM- 02:50PM,310,WBC 310,Staff,35,30
10369,ACC,220.103,Financial Acct,3,LEC,T R,11:00AM- 12:15PM,304,WBC 304,Staff,35,24
10370,ACC,220.104,Financial Acct,3,LEC,T R,12:30PM- 01:45PM,304,WBC 304,Staff,35,13
10371,ACC,220.801,Financial Acct,3,LEC,T,06:30PM- 09:15PM,304,WBC 304,Staff,35,11
10372,ACC,220.802,Financial Acct,3,LEC,W,06:30PM- 09:15PM,229,CH 229,Staff,35,1
10373,ACC,225.101,Managerial Acct,3,LEC,T R,11:00AM- 12:15PM,404,WBC 404,Staff,35,14
10374,ACC,225.102,Managerial Acct,3,LEC,T R,12:30PM- 01:45PM,404,WBC 404,Staff,35,34
10375,ACC,225.801,Managerial Acct,3,LEC,R,06:30PM- 09:15PM,408,WBC 408,Staff,35,29
10376,ACC,305.101,Taxation I,3,LEC,T R,08:00AM- 09:15AM,304,WBC 304,Staff,30,16
10377,ACC,305.801,Taxation I,3,LEC,R,06:30PM- 09:15PM,225,WBC 225,Staff,30,6
10378,ACC,320.101,Inter Accounting I,3,LEC,T R,02:00PM- 03:15PM,304,WBC 304,Andre S,25,13
10379,ACC,320.801,Inter Accounting I,3,LEC,T R,05:00PM- 06:15PM,314,WBC 314,Andre S,25,5
10380,ACC,325.801,Inter Accounting II,3,LEC,M,06:30PM- 09:15PM,302,CH 302,Staff,25,1
10381,ACC,330.101,Inter Accountng III,3,LEC,T R,09:30AM- 10:45AM,304,WBC 304,Andre S,25,24
10382,ACC,350.101,Ethics/Accounting,3,LEC,M W,03:00PM- 04:15PM,304,WBC 304,Smith B,25,13
10383,ACC,410.801,Auditing,3,LEC,M W,05:00PM- 06:15PM,304,WBC 304,Smith B,25,16
10384,ACC,420.801,Adv Accounting I,3,LEC,W,06:30PM- 09:15PM,403,WBC 403,Andre S,30,7
11082,WRT,103.101,Writing Studio,1,LEC,T,11:00AM- 11:50AM,302,WOLF 302,Mutzabaugh E,6,1
11083,WRT,103.102,Writing Studio,1,LEC,R,11:00AM- 11:50AM,302,WOLF 302,Mutzabaugh E,6,5
10760,WRT,230.101,Publication Mgmt I,3,LEC,M W F,10:00AM- 10:50AM,9,HUM 9,Kurowski T,7,1
11084,WRT,280.101,Research Methods,3,LEC,T R,02:00PM- 03:15PM,9,HUM 9,Cope E,20,11
11086,WRT,290.101,Tchng/Tutor Wrtng I,3,LEC,T R,09:30AM- 10:45AM,16,HUM 16,Follett J,20,11
11087,WRT,305.101,Rhetorical Theory,3,LEC,M W F,09:00AM- 09:50AM,130,HUM 130,Carsey K,20,4
11091,WRT,305.102,Rhetorical Theory,3,LEC,M W F,02:00PM- 02:50PM,20,HUM 20,Smith E,20,7
11093,WRT,315.101,Advanced Compositn,3,LEC,M W F,01:00PM- 01:50PM,229,CH 229,Cutrufello G,20,4
11095,WRT,320.101,Digital Writing,3,LEC,T R,09:30AM- 10:45AM,9,HUM 9,Mirasol M,20,13
11096,WRT,320.102,Digital Writing,3,LEC,T R,12:30PM- 01:45PM,9,HUM 9,Mirasol M,20,7
10777,WRT,330.101,Publication Mgmt II,3,LEC,M W F,10:00AM- 10:50AM,9,HUM 9,Kurowski T,7,5
10785,WRT,430.101,Publicatn Mgmt III,3,LEC,M W F,10:00AM- 10:50AM,9,HUM 9,Kurowski T,6,2
11097,WRT,450.101,Experntl Learning,3,INT,T R,08:00AM- 09:15AM,140,HUM 140,Smith E,11,4
11419,SPM,112.101,Sport Mgmt Pract,0.5,PRA,M,06:30PM- 08:00PM,110,GC 110,Klinedinst S,7,6
11420,SPM,113.101,Sport Mgmt Pract,0.5,PRA,M,06:30PM- 08:00PM,110,GC 110,Klinedinst S,7,2
11421,SPM,125.101,Intro Sport Mgmt,3,LEC,M W F,08:00AM- 08:50AM,105,DHL 105,Day G,25,14
11422,SPM,125.102,Intro Sport Mgmt,3,LEC,M W F,09:00AM- 09:50AM,237,DHL 237,Staff,25,17
11423,SPM,125.103,Intro Sport Mgmt,3,LEC,T R,08:00AM- 09:15AM,239,DHL 239,Staff,25,1
11424,SPM,130.101,Sport in Society,3,LEC,M W F,10:00AM- 10:50AM,240,GC 240,Staff,25,22
11425,SPM,150.101,Sport Mgmt Prac I,1,PRA,M,11:00AM- 11:50AM,240,GC 240,Sauder M,15,1
11426,SPM,150.102,Sport Mgmt Prac I,1,PRA,M,11:00AM- 11:50AM,237,DHL 237,Staff,15,14
11427,SPM,150.103,Sport Mgmt Prac I,1,PRA,M,12:00PM- 12:50PM,240,GC 240,Sauder M,15,12
11428,SPM,150.104,Sport Mgmt Prac I,1,PRA,M,12:00PM- 12:50PM,239,DHL 239,Klinedinst S,15,11
11429,SPM,151.101,Sport Mgmt Prac II,1,PRA,M,01:00PM- 01:50PM,239,DHL 239,Klinedinst S,15,2
11430,SPM,205.101,Responding/Emerg,3,LEC,T R,09:30AM- 10:45AM,137,GC 137,Smith J,25,5
11431,SPM,230.101,Social Media,3,LEC,T R,12:30PM- 01:45PM,239,DHL 239,Staff,25,13
11432,SPM,250.101,Sport Mgmt Prac III,1,PRA,M,08:00AM- 08:50AM,240,GC 240,Klinedinst S,15,12
11433,SPM,250.102,Sport Mgmt Prac III,1,PRA,M,08:00AM- 08:50AM,240,GC 240,Staff,15,0
11434,SPM,250.103,Sport Mgmt Prac III,1,PRA,M,01:00PM- 01:50PM,240,GC 240,Staff,15,8
11435,SPM,302.101,Prin Athl/Coach,3,LEC,M W F,08:00AM- 08:50AM,154,GC 154,Petteys J,25,19
11436,SPM,310.101,Sport Behavior,3,LEC,T R,11:00AM- 12:15PM,105,DHL 105,Sauder M,25,9
11437,SPM,310.102,Sport Behavior,3,LEC,T R,12:30PM- 01:45PM,105,DHL 105,Sauder M,25,20
11438,SPM,330.101,Sport Marketing,3,LEC,M W F,09:00AM- 09:50AM,105,DHL 105,Mudrick M,25,4
11439,SPM,330.102,Sport Marketing,3,LEC,M W F,10:00AM- 10:50AM,105,DHL 105,Mudrick M,25,7
11440,SPM,335.801,Sales/Ticket Oprtns,3,LEC,M,06:30PM- 09:15PM,105,DHL 105,Ancharski R,15,4
11441,SPM,340.101,Fincng Sport Op,3,LEC,T R,12:30PM- 01:45PM,240,GC 240,Mudrick M,25,20
11442,SPM,340.102,Fincng Sport Op,3,LEC,T R,02:00PM- 03:15PM,105,DHL 105,Mudrick M,25,0
11443,SPM,401.101,Prof Development,1,LEC,M,01:00PM- 01:50PM,202,DHL 202,Sauder M,15,5
11444,SPM,402.101,Youth Sports Admin,3,LEC,M W F,12:00PM- 12:50PM,202,DHL 202,Saville J,25,4
11445,SPM,425.101,Legal Issues/Sport,3,LEC,M W F,10:00AM- 10:50AM,237,DHL 237,Klinedinst S,25,0
11446,SPM,425.102,Legal Issues/Sport,3,LEC,M W F,11:00AM- 11:50AM,105,DHL 105,Klinedinst S,25,16
11447,SPM,475.101,Ethics/Current Iss,3,LEC,TO BE ARRANGED,TO BE ARRANGED,,,Mudrick M,8,1
11448,SPM,480.101,Work Experience,9,PRA,TO BE ARRANGED,TO BE ARRANGED,,,Achtzehn R,5,0
11124,MUS,001.101,Recital Attendance,0,PRA,TO BE ARRANGED,TO BE ARRANGED,204,WOLF 204,Muzzo G,40,17
11125,MUS,002.101,Recital Attendance,0,PRA,TO BE ARRANGED,TO BE ARRANGED,204,WOLF 204,Muzzo G,40,2
11126,MUS,003.101,Recital Attendance,0,PRA,TO BE ARRANGED,TO BE ARRANGED,204,WOLF 204,Muzzo G,40,23
11127,MUS,004.101,Recital Attendance,0,PRA,TO BE ARRANGED,TO BE ARRANGED,204,WOLF 204,Muzzo G,40,34
11128,MUS,005.101,Recital Attendance,0,PRA,TO BE ARRANGED,TO BE ARRANGED,204,WOLF 204,Muzzo G,40,15
11129,MUS,006.101,Recital Attendance,0,PRA,TO BE ARRANGED,TO BE ARRANGED,204,WOLF 204,Muzzo G,40,26
11130,MUS,101.101,Voice,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,324,WOLF 324,Lippard E,0,0
11131,MUS,101.102,Voice,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,206,WOLF 206C,Muzzo G,0,0
11132,MUS,101.103,Voice,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,323,WOLF 323,Poff M,0,0
11133,MUS,101.104,Voice,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,321,WOLF 321,Woodfield R,0,0
11134,MUS,101.105,Voice,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,321,WOLF 321,Altman-Kopko S,0,0
11135,MUS,103.101,Piano,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,206,WOLF 206D,Osowski K,0,0
11136,MUS,103.102,Piano,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,321,WOLF 321,Knisely C,0,0
11137,MUS,103.103,Piano,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,321,WOLF 321,Nielsen L,0,0
11138,MUS,103.104,Piano,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,108,WOLF 108,Yoder R,0,0
11139,MUS,103.105,Piano,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,324,WOLF 324,Kates C,0,0
11142,MUS,103.106,Piano,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,321,WOLF 321,Dekker-Elicker G,0,0
11145,MUS,103.107,Piano,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,324,WOLF 324,Beachley L,0,0
11146,MUS,105.101,Organ,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,101,WOLF 101I,Kates C,0,0
11148,MUS,107.101,Harpsichord,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,324,WOLF 324,Dekker-Elicker G,0,0
11149,MUS,108.101,Violin,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,324,WOLF 324,Herrera J,0,0
11151,MUS,110.101,Viola,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,324,WOLF 324,Herrera J,0,0
11152,MUS,112.101,Cello,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,108,WOLF 108,Levi Z,0,0
11153,MUS,112.102,Cello,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,108,WOLF 108,Kauffman R,0,0
11154,MUS,114.101,Double Bass,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,108,WOLF 108,Krauss B,0,0
11155,MUS,116.101,Trumpet,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,108,WOLF 108,Cresci J,0,0
11156,MUS,116.102,Trumpet,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,108,WOLF 108,Colonna J,0,0
11157,MUS,118.101,French Horn,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,325,WOLF 325,Houde A,0,0
11158,MUS,120.101,Trombone,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,321,WOLF 321,Moyer J,0,0
11159,MUS,122.101,Baritone,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,321,WOLF 321,Moyer J,0,0
11160,MUS,124.101,Tuba,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,321,WOLF 321,Moyer J,0,0
11161,MUS,126.101,Flute,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,322,WOLF 322,Kosack A,0,0
11162,MUS,128.101,Clarinet,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,322,WOLF 322,Loy S,0,0
11163,MUS,128.102,Clarinet,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,322,WOLF 322,Lippard M,0,0
11164,MUS,130.101,Saxophone,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,322,WOLF 322,Loy S,0,0
11165,MUS,132.101,Oboe,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,322,WOLF 322,Myers K,0,0
11166,MUS,134.101,Bassoon,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,322,WOLF 322,Buchar Nolet K,0,0
11167,MUS,136.101,Percussion,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,101,WOLF 101A,Meckley R,0,0
11168,MUS,136.102,Percussion,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,101,WOLF 101A,Godbole M,0,0
11169,MUS,138.101,Guitar,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,325,WOLF 325,Fogleman M,0,0
11170,MUS,138.102,Guitar,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,325,WOLF 325,Druck W,0,0
11171,MUS,138.103,Guitar,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,108,WOLF 108,Krauss B,0,0
11172,MUS,140.101,Piano Class,0.5,LES,T R,12:30PM- 01:45PM,100,WOLF 100,Kates C,8,3
11173,MUS,142.101,App Improvisation,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,101,WOLF 101A,Stabley J,0,0
11174,MUS,142.102,App Improvisation,0.5,LES,TO BE ARRANGED,TO BE ARRANGED,108,WOLF 108,Protopapas J,0,0
11175,MUS,148.801,Guitar Class,1,LEC,M,07:00PM- 07:50PM,104,WOLF 104,Fogleman M,15,5
11176,MUS,150.101,YC Chorale,1,LEC,M W F,01:00PM- 01:50PM,114,WOLF 114,Muzzo G,60,4
11181,MUS,152.101,Chamber Singers,1,LEC,M W F,02:00PM- 02:50PM,114,WOLF 114,Muzzo G,20,4
11187,MUS,154.101,Opera/Musc Theatr,1,LEC,T R,02:00PM- 03:15PM,204,WOLF 204,Lippard E,25,4
11192,MUS,158.801,YC Women's Ensemble,1,LEC,W,06:30PM- 09:15PM,114,WOLF 114,Kates C,20,6
11197,MUS,160.101,Wind Symphony,1,LEC,M W,03:00PM- 04:15PM,114,WOLF 114,Colonna J,40,1
11203,MUS,162.101,Jazz Ensemble,1,LEC,T R,03:30PM- 04:45PM,114,WOLF 114,Stabley J,25,2
11207,MUS,164.801,Community Orchestra,1,LEC,T,06:30PM- 09:15PM,114,WOLF 114,Levi Z,20,6
11211,MUS,172.101,Percussion Ensemble,1,LEC,T R,02:00PM- 03:15PM,114,WOLF 114,Stabley J,15,5
11215,MUS,172.102,Percussion Ensemble,1,LEC,TO BE ARRANGED,TO BE ARRANGED,101,WOLF 101A,Godbole M,15,12
11219,MUS,176.101,Guitar Ensemble,1,LEC,TO BE ARRANGED,TO BE ARRANGED,325,WOLF 325,Fogleman M,15,3
11223,MUS,178.801,Rock Band,1,LEC,M,05:00PM- 06:15PM,112,WOLF 112,Young S,15,2
11227,MUS,181.101,Found Music Theory,3,LEC,M W F,09:00AM- 09:50AM,104,WOLF 104,Lippard M,25,18
11228,MUS,181.102,Found Music Theory,3,LEC,M W F,12:00PM- 12:50PM,100,WOLF 100,Lippard M,25,19
11229,MUS,181.103,Found Music Theory,3,LEC,T R,11:00AM- 12:15PM,104,WOLF 104,Colonna J,25,1
11230,MUS,183.101,Music Theory II,3,LEC,M W F,10:00AM- 10:50AM,104,WOLF 104,Osowski K,25,25
11231,MUS,185.101,Aural Skills II,1,LEC,T R,09:30AM- 10:05AM,100,WOLF 100,Dekker-Elicker G,15,3
11232,MUS,185.102,Aural Skills II,1,LEC,T R,10:10AM- 10:45AM,100,WOLF 100,Dekker-Elicker G,15,13
11233,MUS,186.101,Listening to Music,3,LEC,M W F,09:00AM- 09:50AM,100,WOLF 100,Kates C,25,14
11234,MUS,186.102,Listening to Music,3,LEC,M W F,10:00AM- 10:50AM,100,WOLF 100,Lippard M,25,24
11235,MUS,186.103,Listening to Music,3,LEC,M W F,11:00AM- 11:50AM,100,WOLF 100,Colonna J,25,11
11236,MUS,186.104,Listening to Music,3,LEC,M W F,01:00PM- 01:50PM,100,WOLF 100,Colonna J,25,13
11237,MUS,186.105,Listening to Music,3,LEC,M W F,02:00PM- 02:50PM,100,WOLF 100,Poff M,25,14
11238,MUS,186.106,Listening to Music,3,LEC,T R,08:00AM- 09:15AM,114,WOLF 114,Woodfield R,25,9
11239,MUS,186.107,Listening to Music,3,LEC,T R,02:00PM- 03:15PM,101,GH 101,Loy S,25,18
11240,MUS,186.108,Listening to Music,3,LEC,T R,03:30PM- 04:45PM,100,WOLF 100,Woodfield R,25,2
11241,MUS,245.101,Explore Music/Film,3,LEC,T R,11:00AM- 12:15PM,218,HUM 218,Loy S,25,13
11242,MUS,247.101,Comm Song Writing,3,LEC,T R,08:00AM- 09:15AM,100,WOLF 100,Stabley J,25,21
